version,total_players,avg_game_rounds,median_game_rounds,retention_1_rate,retention_7_rate,bootstrap_day1_diff_%,bootstrap_day7_diff_%
gate_30,44700,52.4563,17.0,0.4482,0.1902,0.5876664162031773,0.8201661860453697
gate_40,45489,51.2988,16.0,0.4423,0.182,0.5876664162031773,0.8201661860453697
